region,country,gender,type,total,never,always,mostly,sometimes
africa,botswana,n,verbal,0,0,0,0,0
africa,kenya,n,verbal,1,100,0,0,0
africa,malawi,n,verbal,0,0,0,0,0
africa,rwanda,n,verbal,0,0,0,0,0
africa,tanzania,n,verbal,0,0,0,0,0
africa,uganda,n,verbal,0,0,0,0,0
africa,zambia,n,verbal,0,0,0,0,0
africa,zimbabwe,n,verbal,0,0,0,0,0
africa,botswana,m,verbal,0,0,0,0,0
africa,kenya,m,verbal,1,0,0,100,0
africa,malawi,m,verbal,0,0,0,0,0
africa,rwanda,m,verbal,3,66.7,33.3,0,0
africa,tanzania,m,verbal,0,0,0,0,0
africa,uganda,m,verbal,1,0,0,0,100
africa,zambia,m,verbal,3,0,66.7,33.3,0
africa,zimbabwe,m,verbal,0,0,0,0,0
africa,botswana,f,verbal,5,40,20,20,20
africa,kenya,f,verbal,13,53.8,7.7,23.1,15.4
africa,malawi,f,verbal,7,42.9,42.9,0,14.3
africa,rwanda,f,verbal,4,75,25,0,0
africa,tanzania,f,verbal,8,25,25,25,25
africa,uganda,f,verbal,3,33.3,0,0,66.7
africa,zambia,f,verbal,7,28.6,28.6,0,42.9
africa,zimbabwe,f,verbal,9,11.1,0,22.2,66.7
africa,botswana,n,physical,0,0,0,0,0
africa,kenya,n,physical,0,0,0,0,0
africa,malawi,n,physical,0,0,0,0,0
africa,rwanda,n,physical,0,0,0,0,0
africa,tanzania,n,physical,0,0,0,0,0
africa,uganda,n,physical,0,0,0,0,0
africa,zambia,n,physical,0,0,0,0,0
africa,zimbabwe,n,physical,0,0,0,0,0
africa,botswana,m,physical,0,0,0,0,0
africa,kenya,m,physical,0,0,0,0,0
africa,malawi,m,physical,0,0,0,0,0
africa,rwanda,m,physical,1,0,100,0,0
africa,tanzania,m,physical,0,0,0,0,0
africa,uganda,m,physical,1,100,0,0,0
africa,zambia,m,physical,2,0,50,50,0
africa,zimbabwe,m,physical,0,0,0,0,0
africa,botswana,f,physical,6,50,33.3,0,16.7
africa,kenya,f,physical,6,33.3,0,0,33.3
africa,malawi,f,physical,0,0,0,0,0
africa,rwanda,f,physical,0,0,0,0,0
africa,tanzania,f,physical,7,57.1,0,14.3,14.3
africa,uganda,f,physical,3,0,0,0,66.7
africa,zambia,f,physical,2,0,50,0,50
africa,zimbabwe,f,physical,7,42.9,0,28.6,28.6
